0,0.9501,b'2015-02-16'
1,0.1191,b'2015-03-22'
2,0.7250,b'2015-10-20'
3,0.2903,b'2015-07-22'
4,0.6522,b'2015-06-12'
5,0.8629,b'2015-11-03'
6,0.8580,b'2015-11-30'
7,0.1385,b'2015-11-11'
8,0.4011,b'2015-05-31'
9,0.3921,b'2015-07-12'
10,0.2973,b'2015-03-23'
11,0.9459,b'2015-05-23'
12,0.2562,b'2015-01-04'
13,0.5370,b'2015-12-06'
14,0.8765,b'2015-04-23'
15,0.3895,b'2015-01-31'
16,0.9417,b'2015-07-12'
17,0.4747,b'2015-09-07'
18,0.8607,b'2015-05-21'
19,0.7541,b'2015-04-13'
20,0.4920,b'2015-01-14'
21,0.8930,b'2015-03-23'
22,0.1838,b'2015-01-24'
23,0.5722,b'2015-10-25'
24,0.8086,b'2015-12-31'
25,0.9725,b'2015-10-18'
26,0.9518,b'2015-05-07'
27,0.6579,b'2015-12-06'
28,0.2797,b'2015-10-26'
29,0.4699,b'2015-12-06'
30,0.7796,b'2015-02-05'
31,0.7458,b'2015-02-04'
32,0.8220,b'2015-07-10'
33,0.5344,b'2015-10-17'
34,0.8963,b'2015-08-06'
35,0.9420,b'2015-06-15'
36,0.6010,b'2015-01-12'
37,0.2055,b'2015-01-28'
38,0.4930,b'2015-06-04'
39,0.2686,b'2015-08-09'
40,0.4086,b'2015-07-07'
41,0.4841,b'2015-01-19'
42,0.3005,b'2015-11-09'
43,0.5925,b'2015-02-27'
44,0.9209,b'2015-08-12'
45,0.7588,b'2015-03-04'
46,0.7440,b'2015-08-23'
47,0.6725,b'2015-08-07'
48,0.4648,b'2015-08-23'
49,0.0047,b'2015-07-17'
50,0.7669,b'2015-01-27'
51,0.8020,b'2015-11-20'
52,0.2209,b'2015-06-19'
53,0.2918,b'2015-10-14'
54,0.4598,b'2015-03-10'
55,0.9368,b'2015-12-16'
56,0.8331,b'2015-10-02'
57,0.7649,b'2015-09-13'
58,0.0929,b'2015-11-30'
59,0.4116,b'2015-01-18'
60,0.6166,b'2015-11-18'
61,0.9575,b'2015-01-28'
62,0.2167,b'2015-10-02'
63,0.1844,b'2015-01-12'
64,0.7156,b'2015-02-18'
65,0.1829,b'2015-12-14'
66,0.6344,b'2015-05-21'
67,0.8109,b'2015-12-10'
68,0.0547,b'2015-12-26'
69,0.7012,b'2015-05-10'
70,0.5136,b'2015-11-26'
71,0.0577,b'2015-05-12'
72,0.7126,b'2015-03-07'
73,0.3268,b'2015-06-20'
74,0.1208,b'2015-06-25'
75,0.3000,b'2015-06-24'
76,0.3353,b'2015-09-01'
77,0.9588,b'2015-03-01'
78,0.1373,b'2015-01-21'
79,0.5297,b'2015-01-09'
80,0.1431,b'2015-06-17'
81,0.8487,b'2015-12-30'
82,0.9781,b'2015-03-23'
83,0.7607,b'2015-01-18'
84,0.0912,b'2015-02-07'
85,0.8661,b'2015-01-17'
86,0.1819,b'2015-01-04'
87,0.0306,b'2015-07-04'
88,0.4119,b'2015-02-15'
89,0.0179,b'2015-05-05'
90,0.6970,b'2015-04-20'
91,0.6570,b'2015-01-19'
92,0.8091,b'2015-07-10'
93,0.9326,b'2015-02-07'
94,0.9067,b'2015-03-11'
95,0.4772,b'2015-07-05'
96,0.9517,b'2015-08-23'
97,0.3497,b'2015-06-29'
98,0.2920,b'2015-02-04'
99,0.0335,b'2015-06-20'
100,0.1058,b'2015-07-17'
101,0.1887,b'2015-10-17'
102,0.4308,b'2015-08-25'
103,0.6539,b'2015-04-15'
104,0.7194,b'2015-07-29'
105,0.8639,b'2015-12-24'
106,0.3876,b'2015-02-23'
107,0.5885,b'2015-08-02'
108,0.4342,b'2015-02-04'
109,0.1113,b'2015-06-30'
110,0.9810,b'2015-07-09'
111,0.4434,b'2015-03-01'
112,0.3521,b'2015-12-23'
113,0.4940,b'2015-03-24'
114,0.1561,b'2015-03-15'
115,0.1499,b'2015-04-17'
116,0.6332,b'2015-07-14'
117,0.2177,b'2015-09-05'
118,0.0901,b'2015-04-18'
119,0.5620,b'2015-01-03'
120,0.6044,b'2015-12-27'
121,0.5549,b'2015-04-16'
122,0.6194,b'2015-09-25'
123,0.9729,b'2015-02-02'
124,0.9392,b'2015-08-16'
125,0.3952,b'2015-03-14'
126,0.1905,b'2015-08-02'
127,0.5258,b'2015-09-02'
128,0.7447,b'2015-07-20'
129,0.1050,b'2015-05-24'
130,0.6296,b'2015-06-20'
131,0.8208,b'2015-05-12'
132,0.4609,b'2015-05-27'
133,0.6305,b'2015-11-20'
134,0.7551,b'2015-03-04'
135,0.8828,b'2015-08-25'
136,0.8229,b'2015-01-30'
137,0.5382,b'2015-04-26'
138,0.7291,b'2015-08-25'
139,0.6722,b'2015-07-03'
140,0.7204,b'2015-10-06'
141,0.1070,b'2015-12-29'
142,0.9383,b'2015-03-23'
143,0.4564,b'2015-10-28'
144,0.8078,b'2015-07-01'
145,0.1367,b'2015-10-28'
146,0.8672,b'2015-09-11'
147,0.8885,b'2015-03-14'
148,0.7679,b'2015-08-29'
149,0.2511,b'2015-04-12'
150,0.3098,b'2015-12-23'
151,0.7956,b'2015-12-10'
152,0.2823,b'2015-02-01'
153,0.9343,b'2015-07-19'
154,0.4564,b'2015-05-01'
155,0.0181,b'2015-11-10'
156,0.5186,b'2015-09-18'
157,0.0687,b'2015-03-06'
158,0.7174,b'2015-03-24'
159,0.5227,b'2015-01-18'
160,0.8732,b'2015-05-22'
161,0.3995,b'2015-07-30'
162,0.3623,b'2015-01-25'
163,0.4609,b'2015-11-21'
164,0.8797,b'2015-12-27'
165,0.7737,b'2015-01-03'
166,0.0607,b'2015-10-03'
167,0.6085,b'2015-08-28'
168,0.8948,b'2015-12-23'
169,0.6734,b'2015-12-23'
170,0.3683,b'2015-09-22'
171,0.2641,b'2015-10-29'
172,0.9299,b'2015-01-30'
173,0.3629,b'2015-06-20'
174,0.5386,b'2015-06-06'
175,0.1190,b'2015-03-26'
176,0.8435,b'2015-02-21'
177,0.1383,b'2015-07-10'
178,0.2364,b'2015-02-18'
179,0.0813,b'2015-01-23'
180,0.7337,b'2015-03-31'
181,0.7320,b'2015-03-02'
182,0.5787,b'2015-07-04'
183,0.9059,b'2015-03-09'
184,0.3422,b'2015-02-23'
185,0.4995,b'2015-10-17'
186,0.0702,b'2015-02-02'
187,0.6577,b'2015-03-06'
188,0.5482,b'2015-09-06'
189,0.7556,b'2015-06-29'
190,0.4885,b'2015-02-11'
191,0.2223,b'2015-02-19'
192,0.3620,b'2015-07-28'
193,0.5712,b'2015-06-21'
194,0.1678,b'2015-09-24'
195,0.8341,b'2015-06-06'
196,0.5479,b'2015-01-20'
197,0.0357,b'2015-02-11'
198,0.2930,b'2015-03-09'
199,0.1612,b'2015-07-03'
200,0.2986,b'2015-04-14'
